bank,arm,opponent_family,requested_seed,seat,score,our_cash,opponent_cash,margin,paired_score_delta_vs_c0,paired_margin_delta_vs_c0,action_differences_vs_c0,first_action_difference,stored_states,statuses,shop_history_sha256,replay_path
external,a2,souvik_v4,2026092422,1,1.0,59656.0,53001.0,6655.0,0.0,0.0,2,254,720,DONE/DONE,e2d7f3818a39af7905b51e53e65b29e4c52e57b804e959b69a6ea2f9bd0ec193,experiments\learning_round2_20260921\external_bank\replays\a2\souvik_v4\seed_2026092422_seat_1.json.gz
external,a2,souvik_v4,2026092423,0,1.0,109530.0,89570.0,19960.0,0.0,0.0,2,254,720,DONE/DONE,3b15a90179d78132177234758759a2ae903ac311fbea2fb06440595cecc50aa7,experiments\learning_round2_20260921\external_bank\replays\a2\souvik_v4\seed_2026092423_seat_0.json.gz
external,a2,souvik_v4,2026092423,1,1.0,109530.0,89570.0,19960.0,0.0,0.0,2,254,720,DONE/DONE,3b15a90179d78132177234758759a2ae903ac311fbea2fb06440595cecc50aa7,experiments\learning_round2_20260921\external_bank\replays\a2\souvik_v4\seed_2026092423_seat_1.json.gz
external,a2,souvik_v4,2026092424,0,0.0,100144.0,110928.0,-10784.0,-1.0,-14442.0,83,242,720,DONE/DONE,72630c504235f53644dc14d05062a36499dcd7a31d74aa3c734f19c78942cf44,experiments\learning_round2_20260921\external_bank\replays\a2\souvik_v4\seed_2026092424_seat_0.json.gz
external,a2,souvik_v4,2026092424,1,0.0,100144.0,110928.0,-10784.0,-1.0,-14442.0,83,242,720,DONE/DONE,72630c504235f53644dc14d05062a36499dcd7a31d74aa3c734f19c78942cf44,experiments\learning_round2_20260921\external_bank\replays\a2\souvik_v4\seed_2026092424_seat_1.json.gz
external,a2_keep,mooman_e052a,2026092421,0,1.0,76920.0,71979.0,4941.0,0.0,0.0,0,,720,DONE/DONE,2db8c68149ed114570b99e4340d9e4c8be1afbda9a383fbfc75e069d947f2752,experiments\learning_round2_20260921\external_bank\replays\a2_keep\mooman_e052a\seed_2026092421_seat_0.json.gz
external,a2_keep,mooman_e052a,2026092421,1,1.0,76920.0,71979.0,4941.0,0.0,0.0,0,,720,DONE/DONE,2db8c68149ed114570b99e4340d9e4c8be1afbda9a383fbfc75e069d947f2752,experiments\learning_round2_20260921\external_bank\replays\a2_keep\mooman_e052a\seed_2026092421_seat_1.json.gz
external,a2_keep,mooman_e052a,2026092422,0,1.0,62331.0,52593.0,9738.0,0.0,0.0,0,,720,DONE/DONE,86f7dd52cde6f6c29c4b7645f6d9550fad65a3fa0e020f13ab27c5f50cccfab0,experiments\learning_round2_20260921\external_bank\replays\a2_keep\mooman_e052a\seed_2026092422_seat_0.json.gz
external,a2_keep,mooman_e052a,2026092422,1,1.0,63409.0,53526.0,9883.0,0.0,0.0,0,,720,DONE/DONE,e4b291032602d7df03c664a5945f491142a5bd573564d4a1ed9c3788d8841302,experiments\learning_round2_20260921\external_bank\replays\a2_keep\mooman_e052a\seed_2026092422_seat_1.json.gz
external,a2_keep,mooman_e052a,2026092423,0,1.0,109532.0,89568.0,19964.0,0.0,0.0,0,,720,DONE/DONE,3b15a90179d78132177234758759a2ae903ac311fbea2fb06440595cecc50aa7,experiments\learning_round2_20260921\external_bank\replays\a2_keep\mooman_e052a\seed_2026092423_seat_0.json.gz
